k_s,sensitivity,cantera equation,cantera products,cantera reactants
0,0.5153613090321725,H(8) + O2(4) <=> O(9) + OH(2),"{'O(9)': 1.0, 'OH(2)': 1.0}","{'H(8)': 1.0, 'O2(4)': 1.0}"
32,0.13321411511368242,HCO(17) + M <=> CO(15) + H(8) + M,"{'CO(15)': 1.0, 'H(8)': 1.0}",{'HCO(17)': 1.0}
244,-0.1052947235757465,CH3(19) + H(8) <=> CH4(3),{'CH4(3)': 1.0},"{'CH3(19)': 1.0, 'H(8)': 1.0}"
745,-0.09697606347629627,BR(90) + HCO(17) <=> CO(15) + HBR(92),"{'CO(15)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'HCO(17)': 1.0}"
356,-0.0865932826242246,H(8) + O2(4) <=> HO2(13),{'HO2(13)': 1.0},"{'H(8)': 1.0, 'O2(4)': 1.0}"
1017,0.07443228604727396,CH2(T)(18) + O2(4) <=> CHO2(230) + H(8),"{'CHO2(230)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
90,-0.06944467681672192,CH3(19) + O(9) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
29,0.045018328550695194,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
116,0.038321099516215526,CH2OH(33) + H(8) <=> CH3(19) + OH(2),"{'CH3(19)': 1.0, 'OH(2)': 1.0}","{'CH2OH(33)': 1.0, 'H(8)': 1.0}"
93,0.03799958276526267,CH3(19) + OH(2) <=> CH2(S)(25) + H2O(5),"{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
366,-0.03785731769656921,CH3(19) + OH(2) <=> CH3OH(26),{'CH3OH(26)': 1.0},"{'CH3(19)': 1.0, 'OH(2)': 1.0}"
381,0.029135244425279015,CH2O(20) + H(8) <=> CH2OH(33),{'CH2OH(33)': 1.0},"{'CH2O(20)': 1.0, 'H(8)': 1.0}"
92,0.02848823710111295,CH3(19) + OH(2) <=> CH2(T)(18) + H2O(5),"{'CH2(T)(18)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
12,-0.02471632216439999,H2O(5) + M <=> H(8) + OH(2) + M,"{'H(8)': 1.0, 'OH(2)': 1.0}",{'H2O(5)': 1.0}
43,-0.022522927760382224,CH(7) + H2(10) <=> CH2(T)(18) + H(8),"{'CH2(T)(18)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'H2(10)': 1.0}"
411,-0.021843567210854366,BR(90) + HO2(13) <=> HBR(92) + O2(4),"{'HBR(92)': 1.0, 'O2(4)': 1.0}","{'BR(90)': 1.0, 'HO2(13)': 1.0}"
162,0.021708478267527427,C2H2(23) + O(9) <=> H(8) + HCCO(21),"{'H(8)': 1.0, 'HCCO(21)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
13,-0.021099123735117974,2 H2O(5) <=> H(8) + H2O(5) + OH(2),"{'H(8)': 1.0, 'H2O(5)': 1.0, 'OH(2)': 1.0}",{'H2O(5)': 2.0}
91,0.020230408706556766,CH3(19) + O(9) <=> CO(15) + H(8) + H2(10),"{'CO(15)': 1.0, 'H(8)': 1.0, 'H2(10)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
66,0.019990129525726638,CH2(S)(25) + N2 <=> CH2(T)(18) + N2,"{'CH2(T)(18)': 1.0, 'N2': 1.0}","{'CH2(S)(25)': 1.0, 'N2': 1.0}"
72,0.019310807309462927,CH2(S)(25) + H2(10) <=> CH3(19) + H(8),"{'CH3(19)': 1.0, 'H(8)': 1.0}","{'CH2(S)(25)': 1.0, 'H2(10)': 1.0}"
36,-0.018176538426427667,HCO(17) + OH(2) <=> CO(15) + H2O(5),"{'CO(15)': 1.0, 'H2O(5)': 1.0}","{'HCO(17)': 1.0, 'OH(2)': 1.0}"
33,-0.017635547815630162,H(8) + HCO(17) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HCO(17)': 1.0}"
