cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
745,0.07932831370815462,BR(90) + HCO(17) <=> CO(15) + HBR(92),"{'CO(15)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'HCO(17)': 1.0}"
29,0.038028602419855645,CO(15) + OH(2) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CO(15)': 1.0, 'OH(2)': 1.0}"
0,-0.035887302951059186,H(8) + O2(4) <=> O(9) + OH(2),"{'O(9)': 1.0, 'OH(2)': 1.0}","{'H(8)': 1.0, 'O2(4)': 1.0}"
356,-0.027727432019260687,H(8) + O2(4) <=> HO2(13),{'HO2(13)': 1.0},"{'H(8)': 1.0, 'O2(4)': 1.0}"
36,-0.02445113460038176,HCO(17) + OH(2) <=> CO(15) + H2O(5),"{'CO(15)': 1.0, 'H2O(5)': 1.0}","{'HCO(17)': 1.0, 'OH(2)': 1.0}"
33,-0.022072724372816557,H(8) + HCO(17) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HCO(17)': 1.0}"
90,0.020595026756056907,CH3(19) + O(9) <=> CH2O(20) + H(8),"{'CH2O(20)': 1.0, 'H(8)': 1.0}","{'CH3(19)': 1.0, 'O(9)': 1.0}"
411,0.019957763191898945,BR(90) + HO2(13) <=> HBR(92) + O2(4),"{'HBR(92)': 1.0, 'O2(4)': 1.0}","{'BR(90)': 1.0, 'HO2(13)': 1.0}"
1017,-0.019328950450120765,CH2(T)(18) + O2(4) <=> CHO2(230) + H(8),"{'CHO2(230)': 1.0, 'H(8)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
684,0.018618263191268965,H(8) + HBR(92) <=> BR(90) + H2(10),"{'BR(90)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'HBR(92)': 1.0}"
32,-0.01804268628232017,HCO(17) + M <=> CO(15) + H(8) + M,"{'CO(15)': 1.0, 'H(8)': 1.0}",{'HCO(17)': 1.0}
96,0.01676066293195161,CH3(19) + HO2(13) <=> CH3O(27) + OH(2),"{'CH3O(27)': 1.0, 'OH(2)': 1.0}","{'CH3(19)': 1.0, 'HO2(13)': 1.0}"
15,0.01654789044299247,H(8) + HO2(13) <=> 2 OH(2),{'OH(2)': 2.0},"{'H(8)': 1.0, 'HO2(13)': 1.0}"
14,-0.01648124024193305,H(8) + HO2(13) <=> H2(10) + O2(4),"{'H2(10)': 1.0, 'O2(4)': 1.0}","{'H(8)': 1.0, 'HO2(13)': 1.0}"
3,0.014802118871212567,H2(10) + OH(2) <=> H(8) + H2O(5),"{'H(8)': 1.0, 'H2O(5)': 1.0}","{'H2(10)': 1.0, 'OH(2)': 1.0}"
93,0.014160616627585318,CH3(19) + OH(2) <=> CH2(S)(25) + H2O(5),"{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
762,-0.013229795491363522,HBR(92) + O(9) <=> BR(90) + OH(2),"{'BR(90)': 1.0, 'OH(2)': 1.0}","{'HBR(92)': 1.0, 'O(9)': 1.0}"
103,-0.012181231307336175,2 CH3(19) <=> C2H5(32) + H(8),"{'C2H5(32)': 1.0, 'H(8)': 1.0}",{'CH3(19)': 2.0}
123,0.01163852480415948,CH4(3) + O(9) <=> CH3(19) + OH(2),"{'CH3(19)': 1.0, 'OH(2)': 1.0}","{'CH4(3)': 1.0, 'O(9)': 1.0}"
162,-0.011498910857129204,C2H2(23) + O(9) <=> H(8) + HCCO(21),"{'H(8)': 1.0, 'HCCO(21)': 1.0}","{'C2H2(23)': 1.0, 'O(9)': 1.0}"
122,-0.011178822959772051,CH4(3) + H(8) <=> CH3(19) + H2(10),"{'CH3(19)': 1.0, 'H2(10)': 1.0}","{'CH4(3)': 1.0, 'H(8)': 1.0}"
838,-0.010676056867565616,CF2(43) + HO2(13) <=> CF2O(49) + OH(2),"{'CF2O(49)': 1.0, 'OH(2)': 1.0}","{'CF2(43)': 1.0, 'HO2(13)': 1.0}"
